"strain","meropenem_MIC","meropenem_MIC_clean"
"ERR1217257",">32",48
"ERR1217259","8",8
"ERR1217261",">32",48
"ERR1217263",">32",48
"ERR1217264","≤0.06",0.06
"ERR1217265",">32",48
"ERR1217266","≤0.06",0.06
"ERR1217267",">32",48
"ERR1217268","≤0.06",0.06
"ERR1217271","≤0.06",0.06
"ERR1217272",">32",48
"ERR1217274","8",8
"ERR1217275","≤0.06",0.06
"ERR1217279",">32",48
"ERR1217280","≤0.06",0.06
"ERR1217281",">32",48
"ERR1217282","≤0.06",0.06
"ERR1217283",">32",48
"ERR1217285",">32",48
"ERR1217286","≤0.06",0.06
"ERR1217287",">32",48
"ERR1217289",">32",48
"ERR1217291",">32",48
"ERR1217292","≤0.06",0.06
"ERR1217293",">32",48
"ERR1217295","≤0.06",0.06
"ERR1217296",">32",48
"ERR1217297","≤0.06",0.06
"ERR1217298",">32",48
"ERR1217299","≤0.06",0.06
"ERR1217300",">32",48
"ERR1217302",">32",48
"ERR1217305","0.12",0.12
"ERR1217307","≤0.06",0.06
"ERR1217308",">32",48
"ERR1217309","≤0.06",0.06
"ERR1217310",">32",48
"ERR1217311","≤0.06",0.06
"ERR1217312",">32",48
"ERR1217313","≤0.06",0.06
"ERR1217314","16",16
"ERR1217315",">32",48
"ERR1217316","≤0.06",0.06
"ERR1217317",">32",48
"ERR1217318","≤0.06",0.06
"ERR1217319",">32",48
"ERR1217321",">32",48
"ERR1217322","≤0.06",0.06
"ERR1217323","≤0.06",0.06
"ERR1217324",">32",48
"ERR1217325","≤0.06",0.06
"ERR1217327","≤0.06",0.06
"ERR1217328",">32",48
"ERR1217329","≤0.06",0.06
"ERR1217330","≤0.06",0.06
"ERR1217335",">32",48
"ERR1217336","≤0.06",0.06
"ERR1217337","32",32
"ERR1217338","≤0.06",0.06
"ERR1217340","≤0.06",0.06
"ERR1217341","32",32
"ERR1217342","≤0.06",0.06
"ERR1217343","16",16
"ERR1217344","≤0.06",0.06
"ERR1217347",">32",48
"ERR1217349",">32",48
"ERR1217350","≤0.06",0.06
"ERR1217352","≤0.06",0.06
"ERR1217353",">32",48
"ERR1217355","32",32
"ERR1217357",">32",48
"ERR1217360","≤0.06",0.06
"ERR1217363",">32",48
"ERR1217365",">32",48
"ERR1217367","≤0.06",0.06
"ERR1217368",">32",48
"ERR1217370",">32",48
"ERR1217371","≤0.06",0.06
"ERR1217374","≤0.06",0.06
"ERR1217375",">32",48
"ERR1217380","≤0.06",0.06
"ERR1217382",">32",48
"ERR1217385","≤0.06",0.06
"ERR1217387","≤0.06",0.06
"ERR1217389","≤0.06",0.06
"ERR1217390",">32",48
"ERR1217393","≤0.06",0.06
"ERR1217395","≤0.06",0.06
"ERR1217396",">32",48
"ERR1217402",">32",48
"ERR1217406","≤0.06",0.06
"ERR1217407","32",32
"ERR1217409",">32",48
"ERR1217410","≤0.06",0.06
"ERR1217411",">32",48
"ERR1217412","≤0.06",0.06
"ERR1217413",">32",48
"ERR1217415",">32",48
"ERR1217417",">32",48
"ERR1217419",">32",48
"ERR1217420","≤0.06",0.06
"ERR1217421",">32",48
"ERR1217422","≤0.06",0.06
"ERR1217423",">32",48
"ERR1217425",">32",48
"ERR1217426",">32",48
"ERR1217427","≤0.06",0.06
"ERR1217428",">32",48
"ERR1217430",">32",48
"ERR1217432",">32",48
"ERR1217433",">32",48
"ERR1217434","≤0.06",0.06
"ERR1217437",">32",48
"ERR1217439","≤0.06",0.06
"ERR1217440","32",32
"ERR1217443","≤0.06",0.06
"ERR1217450","≤0.06",0.06
"ERR1217451","4",4
"ERR1217453","32",32
"ERR1217454","≤0.06",0.06
"ERR1217455",">32",48
"ERR1217456","≤0.06",0.06
"ERR1217457",">32",48
"ERR1217458","≤0.06",0.06
"ERR1217459",">32",48
"ERR1217465",">32",48
"ERR1217467","32",32
"ERR1217468","≤0.06",0.06
"ERR1217471","16",16
"ERR1217475",">32",48
"ERR1217480","1",1
"ERR1228139","≤0.06",0.06
"ERR1228140",">32",48
"ERR1228142",">32",48
"ERR1228146","8",8
"ERR1228149","4",4
"ERR1228154",">32",48
"ERR1228156",">32",48
"ERR1228158","16",16
"ERR1228159","≤0.06",0.06
"ERR1228160","8",8
"ERR1228162",">32",48
"ERR1228166","≤0.06",0.06
"ERR1228172","≤0.06",0.06
"ERR1228173",">32",48
"ERR1228177","2",2
"ERR1228178","≤0.06",0.06
"ERR1228179","≤0.06",0.06
"ERR1228180",">32",48
"ERR1228182",">32",48
"ERR1228183","≤0.06",0.06
"ERR1228184",">32",48
"ERR1228185","≤0.06",0.06
"ERR1228186",">32",48
"ERR1228188",">32",48
"ERR1228189","≤0.06",0.06
"ERR1228190",">32",48
"ERR1228191","≤0.06",0.06
"ERR1228192",">32",48
"ERR1228193","≤0.06",0.06
"ERR1228195",">32",48
"ERR1228196","0.12",0.12
"ERR1228197","32",32
"ERR1228198",">32",48
"ERR1228199",">32",48
"ERR1228203","8",8
"ERR1228204","≤0.06",0.06
"ERR1228205",">32",48
"ERR1228208","≤0.06",0.06
"ERR1228209","32",32
"ERR1228210","≤0.06",0.06
"ERR1228211",">32",48
"ERR1228217","2",2
"ERR1228220","≤0.06",0.06
"ERR1228221",">32",48
"ERR1228227","≤0.06",0.06
"ERR1228228",">32",48
"ERR1228230","32",32
"ERR1228243","≤0.06",0.06
"ERR1228245","32",32
"ERR1228248","2",2
"ERR1228250","0.5",0.5
"ERR1228251","1",1
"ERR1228252","0.25",0.25
"ERR1228253","0.5",0.5
"ERR1228254","1",1
"ERR1228255","1",1
"ERR1228259","0.25",0.25
"ERR1228260","0.5",0.5
"ERR1228262","2",2
"ERR1228264","0.25",0.25
"ERR1228265","1",1
"ERR1228266","1",1
"ERR1228269","0.12",0.12
"ERR1228270","1",1
"ERR1228271","0.25",0.25
"ERR1228272","0.5",0.5
"ERR1228274","≤0.06",0.06
"ERR1228275","1",1
"ERR1228278","0.12",0.12
"ERR1228280","0.12",0.12
"ERR1228283","1",1
"ERR1228289","0.12",0.12
"ERR1228291","≤0.06",0.06
"ERR1228295","≤0.06",0.06
"ERR1228296","≤0.06",0.06
"ERR1228297","≤0.06",0.06
"ERR1228298","≤0.06",0.06
"ERR1228299","≤0.06",0.06
"ERR1228303","≤0.06",0.06
"ERR1228341","2",2
"ERR1228344",">32",48
"ERR1228345","0.5",0.5
"ERR1228351","32",32
"ERR1228352","2",2
"ERR1228353",">32",48
"ERR1228355",">32",48
"ERR1228357","4",4
"ERR1228359","8",8
"ERR1228360","2",2
"ERR1228364","4",4
"ERR1228366","2",2
"ERR1228367","2",2
"ERR1228371","8",8
"ERR1228373","0.5",0.5
"ERR1228374","≤0.06",0.06
"ERR1228376","16",16
"ERR1228377","16",16
"ERR1228380","0.5",0.5
"ERR1228382","0.5",0.5
"ERR1228384","≤0.06",0.06
"ERR1228387","0.12",0.12
"ERR1228398","2",2
"ERR1228400","0.5",0.5
"ERR1228401","2",2
"ERR1228402","4",4
"ERR1228403","4",4
"ERR1228404","≤0.06",0.06
"ERR1289695","0.5",0.5
"ERR1289697","≤0.06",0.06
"ERR1289699","≤0.06",0.06
"ERR1289701","≤0.06",0.06
"ERR1289705","≤0.06",0.06
"ERR1289707","≤0.06",0.06
"ERR1289709","≤0.06",0.06
"ERR1289711","≤0.06",0.06
"ERR1289712","≤0.06",0.06
"ERR1289713","0.25",0.25
"ERR1289715","≤0.06",0.06
"ERR1289719","1",1
"ERR1289720","≤0.06",0.06
"ERR1289722","≤0.06",0.06
"ERR1289723","8",8
"ERR1289724","≤0.06",0.06
"ERR1289725","8",8
"ERR1289726","≤0.06",0.06
"ERR1289727","16",16
"ERR1289728","4",4
"ERR1289729","4",4
"ERR1289730","≤0.06",0.06
"ERR1289731","0.12",0.12
"ERR1289737","0.25",0.25
"ERR1289738","≤0.06",0.06
"ERR1289740","≤0.06",0.06
"ERR1289741","16",16
"ERR1289747",">32",48
"ERR1289748","32",32
"ERR1289751",">32",48
"ERR1289754","0.5",0.5
"ERR1289760","0.5",0.5
"ERR1289762","32",32
"ERR1289765",">32",48
"ERR1289767","≤0.06",0.06
"ERR1289769","≤0.06",0.06
"ERR1289771","0.12",0.12
"ERR1289772","≤0.06",0.06
"ERR1289774","32",32
"ERR1289776","≤0.06",0.06
"ERR1289789","≤0.06",0.06
"ERR1289790","≤0.06",0.06
"ERR1289803","≤0.06",0.06
"ERR1289804","≤0.06",0.06
"ERR1289805","≤0.06",0.06
"ERR1289806","≤0.06",0.06
"ERR1289807","≤0.06",0.06
"ERR1289808","2",2
"ERR1289809","8",8
"ERR1289810","≤0.06",0.06
"ERR1289812","≤0.06",0.06
"ERR1289813","≤0.06",0.06
"ERR1289815","≤0.06",0.06
"ERR1289816","≤0.06",0.06
"ERR1289818","0.25",0.25
"ERR1289820","≤0.06",0.06
"ERR1289821","≤0.06",0.06
"ERR1289822","≤0.06",0.06
"ERR1289826","≤0.06",0.06
"ERR1289830","≤0.06",0.06
"ERR1289832","≤0.06",0.06
"ERR1289835","2",2
"ERR1289839","≤0.06",0.06
"ERR1289841","≤0.06",0.06
"ERR1289842","≤0.06",0.06
"ERR1289843","≤0.06",0.06
"ERR1289844","≤0.06",0.06
"ERR1289847","2",2
"ERR1289854","≤0.06",0.06
"ERR1289855","≤0.06",0.06
"ERR1289856","≤0.06",0.06
