"strain","meropenem_MIC","meropenem_MIC_clean"
"ERR1541411","≤0.06",0.06
"ERR1541418","≤0.06",0.06
"ERR1541420","≤0.06",0.06
"ERR1541424","≤0.06",0.06
"ERR1541425","≤0.06",0.06
"ERR1541427","≤0.06",0.06
"ERR1541436","0.5",0.5
"ERR1541437","0.25",0.25
"ERR1541438","≤0.06",0.06
"ERR1541440","≤0.06",0.06
"ERR1541441","0.12",0.12
"ERR1541442","≤0.06",0.06
"ERR1541443","≤0.06",0.06
"ERR1541444","≤0.06",0.06
"ERR1541446","32",32
"ERR1541447",">32",48
"ERR1541449",">32",48
"ERR1541450","1",1
"ERR1541452","32",32
